TickerSymbol,EarningsPerShare,Pre-TaxROE,AfterTaxROE,CashRatio,QuickRatio,GrossMargin,OperatingMargin,Pre-TaxMargin,debt_to_asset,debt_to_equity,operating_cash_flow_margin,profit_margin,ebit_margin,p/e,p/s,capital_surplus_to_asset,Goodwill_to_asset
PH,6.98,23,16,67,144,23,9,12,0.113613144,0.226467198,10.50163473,9.306300687,12.40382564,18.17621819,0.868998069,4.486076242,23.89135538
PHM,1.27,14,10,,,27,12,12,0.228580731,0.407663008,5.287904584,8.146829732,11.8467021,16.74015748,0.013492065,35.86006505,0
PKI,1.4,8,8,29,131,45,9,8,0.253270443,0.511920071,12.58692153,7.650927334,9.419819875,31.37857143,2.208675293,2.284052432,55.33700651
PNC,7.44,13,9,,,0,0,34,0,0,34.13181009,25.69866716,38.0504883,12.20698925,15.08925127,4.8027658,2.638000185
PNR,1.13,17,5,7,108,35,12,11,0.281308657,0.642694798,14.32589857,3.052990482,12.15229436,59.00884956,0.018945873,39.88662813,44.50315339
PRU,-2.69,4,3,,,38,3,3,0.036406206,0.668206847,35.84881249,2.552444321,3.251085852,-33.49814164,0.009992792,3.204179194,0
PSX,8.4,27,22,47,120,13,2,4,0.160046825,0.360954145,2.189042999,3.046919584,3.729250924,8.6059525,0.002690495,39.10293272,6.723897149
PWR,1.35,9,7,17,222,15,6,6,0.011591595,0.016057024,3.197814341,4.067028353,5.567977918,21,7.32E-06,57.45355902,25.53248274
RCL,3.45,9,9,5,18,34,12,9,0.369055563,0.922741035,21.59760115,9.517931645,12.66365324,24.04347739,0.023948466,15.70763364,2.030310155
RCL,3.03,8,8,9,17,39,11,8,0.37125666,0.96333132,23.45280931,12.97795393,11.36883464,32.38943861,0.027659647,15.76159953,1.370643282
RSG,1.54,11,7,4,76,36,14,10,0.350890813,0.910332718,17.37757432,6.240841503,14.01747072,26.34415584,0.018894846,34.22364885,53.90116453
SEE,1.22,23,13,17,112,35,8,3,0.538399638,3.68249054,-2.823043675,2.855299658,7.159538094,35.00000082,0.123959747,22.46894332,37.68168787
SIG,4.59,22,14,27,196,38,14,13,0,0,5.59488739,8.742753967,13.5536444,16.55337756,0.283399707,6.423111288,0.665144446
SJM,5.42,17,11,17,69,36,16,15,0.206739366,0.372415301,15.25683528,10.0737889,16.55972623,17.92804391,0.439902675,43.77166067,34.19571312
SO,2.19,14,10,8,43,40,20,16,0.293935899,0.986523942,31.48860129,10.99799643,20.81009368,22.54337854,0,0,0
SPLS,0.21,5,3,19,85,26,1,1,0.098758246,0.191894439,4.637204339,3.450115597,1.409390005,81.61904286,0.000762049,47.87543655,25.9992239
SRCL,3.84,26,17,5,120,43,22,19,0.349220337,0.805929461,17.54968792,12.77413806,21.66652776,34.28124974,0.043732319,6.613103783,55.30905481
STI,3.26,10,8,,,0,0,26,0.006446766,0.053336231,-13.57528425,20.37441139,29.7117262,12.8006135,2.635982543,4.775440293,3.329515363
STT,4.65,11,9,,,0,0,23,0,0,-5.259703731,20.20438777,26.52353272,16.84946194,3.702268797,3.571806405,2.125354317
SWKS,2.44,22,18,271,389,45,25,25,0,0,33.7071787,19.98690814,24.66506655,22.17213033,1.116705174,75.60024211,28.61658484
SYF,2.78,32,20,,,0,0,27,0,0,41.95804196,16.57106938,30.15636049,10.60431655,0.002316335,12.42685617,1.253516848
SYY,1.59,28,18,9,93,18,3,3,0.179385871,0.447591896,3.209201459,2.002577052,3.438258921,23.55345975,0.61603246,8.669113491,14.84403947
TAP,2.78,7,7,27,59,40,18,14,0.166043161,0.295206847,31.06142826,20.2204375,17.63741167,26.56834568,0.030282903,27.69078905,15.67656884
TEL,4.34,20,20,62,185,33,15,15,0.162812624,0.364272233,17.39747766,15.292742,15.76046104,13.33410115,0.889341002,25.95772132,18.48947995
TGT,-2.58,26,12,19,46,29,6,5,0.30685903,0.90262199,6.112809496,-2.25288496,6.245008125,-28.77906977,0.05419111,11.89886331,0
TMK,4.15,17,12,,,47,22,22,0.060700093,0.261955701,23.88633447,14.99792133,23.77846438,13.05060241,2.008026552,2.257335998,2.178301885
TMO,4.76,10,9,25,87,44,15,12,0.288237916,0.601106672,15.51013642,7.674545282,12.35790072,26.91596534,3.098771904,26.77488384,43.97124062
TSCO,2.69,45,29,8,26,34,10,10,0.002436386,0.003832057,7.163837832,6.493408722,10.32040289,29.25278885,0.018488665,25.11571235,0.504184912
TSO,6.56,33,19,29,77,12,4,4,0.252319447,0.934216435,3.356877415,2.074668373,4.181330446,11.50914634,0.048310487,7.610211631,0
TSS,1.73,23,19,98,233,32,18,16,0.376342712,0.830067074,22.89453046,13.46230317,16.0583879,19.75144393,0.283176972,4.587284969,41.44538447
TXT,2.15,20,14,23,60,18,8,6,0.264703869,0.904962547,8.704424269,4.698083297,7.522697795,19.23720977,0.107289237,9.989729545,13.87880863
UNH,5.78,30,17,,,28,8,7,0.201500313,0.536328342,6.170578046,4.306605147,7.874365774,17.43598599,0.007724144,0,38.13294436
UNM,1.62,6,5,,,27,5,5,0.045706819,0.334948779,11.62620552,3.820609055,6.741412894,21.44444568,0.099686262,3.556754022,0.318173521
URBN,1.92,25,17,158,206,38,14,14,0,0,13.70938584,9.147906051,13.85073842,17.85416615,0.000166591,4.397775271,0
VAR,3.88,36,25,76,160,43,19,19,0.115420473,0.239727299,14.72227687,14.05993836,19.07338186,20.92783428,2.687550035,19.14782458,7.167268839
VFC,2.42,24,19,60,158,49,12,11,0.143606289,0.251088018,13.82190805,11.75580584,11.71692017,30.22314008,0.644417948,30.40218175,18.53631682
VLO,6.88,27,18,37,100,10,5,4,0.126893524,0.279537651,3.241264406,2.774296108,4.546635688,7.316860465,0.002693131,15.62239297,0
VMC,1.56,7,5,31,132,20,18,10,0.228158173,0.439256456,8.694766394,6.887754165,18.10869727,42.93589936,2.950779083,34.0085563,38.48758447
WDC,6.88,20,18,132,195,29,12,12,0.149235435,0.2615924,18.61202908,10.68737607,11.94976867,13.41569811,0.018301389,15.03967998,16.51074263
WEC,2.61,21,13,4,53,33,22,19,0.279818853,0.937214894,23.99191531,11.79684217,23.84382942,20.37930996,0.024481599,2.013418316,2.96477692
WFC,4.17,18,13,,,0,0,38,0,0,19.83546825,26.09084325,41.69193862,13.11750624,5.654949635,3.588111347,1.523570745
WFM,1.57,25,15,68,105,36,7,7,0.010445682,0.015735641,7.665210652,4.628716359,6.664787939,23.92356752,7.576037964,0,12.32590529
WHR,8.3,18,13,12,64,17,6,4,0.177182282,0.725486182,7.44263285,3.95531401,5.263687601,23.25421627,1.068392686,12.77372263,14.03359664
WM,2.8,30,22,38,98,36,16,13,0.391839226,1.422604841,16.6547585,8.716776222,15.84024007,18.48214286,0.02218491,21.52885383,26.95215289
WMB,2.94,41,24,9,65,41,21,47,0.411852145,2.367551555,27.69412073,27.68102658,56.71075029,15.38095272,4.630357573,29.58081459,2.219799822
WMT,4.9,32,21,10,24,25,6,5,0.217625311,0.58434201,4.882908456,3.363888691,5.666878021,14.82857224,0.049274568,1.153596319,9.528646991
XEL,2.03,15,10,2,68,32,17,13,0.311155098,1.125816659,22.66097388,8.739467754,18.07037998,17.79310296,3.907853768,15.79454603,0
XL,0.71,3,2,,,36,4,4,0.047857097,0.21485584,14.58868598,2.852656519,5.946790701,48.52112817,0.013316093,16.33656308,0
XOM,7.6,30,19,7,56,32,9,13,0.048578941,0.097351476,11.44771064,8.675099276,13.17313914,12.21447395,2.542016421,0,0
XRX,0.82,11,9,23,131,32,6,6,0.228288379,0.591309234,10.55783009,5.839303992,6.171954964,16.76829268,0.790941658,15.48557379,31.8352737
XYL,1.84,20,16,73,175,39,12,11,0.247258432,0.561824165,10.62308478,9.269662921,12.12972421,20.69565326,0.019448418,37.16118353,33.8299193
